tweet_id, user_id
'505078882882830336','332182627'
'505078962465144832','10750822'
'505078967607758848','435722384'
'505078969519972352','1959825786'
'505078973357760512','1322208427'
'505079046435532801','92796856'
'505079100113825792','813064693'
'505079109442347008','450719700'
'505079192313421824','153116157'
'505079235841499136','2281634084'
'505079342700187648','1228840274'
'505079455208206337','1944079380'
'505079610111827968','20582958'
'505079672804478977','150882479'
'505079764533923840','2311514023'
'505079791041511424','313983586'
'505079838261010432','10238542'
'505079869412483073','79187514'
'505079897141047296','306797501'
'505079900303527937','98251710'
'505079953885786113','2166105652'
'505079979797778432','2291735899'
'505080041806757888','41727242'
'505080056642027520','351850150'
'505080090674618368','2421822554'
'505080102657744896','450719700'
'505080143543812097','1926562094'
'505080158001561600','19729977'
'505080172874588160','44207412'
'505080239408816128','2407442382'
'505080242856525825','18559343'
'505080399278911489','953695980'
'505080463296180225','15308733'
'505080486926876672','2725952336'
'505080582951673856','407885371'
'505080757237592064','133251329'
'505080819397177345','1057733672'
'505080841631182848','298139855'
'505080893497942016','2355258758'
'505080923399143425','2291309870'
'505080948581359616','1420660507'
'505080986879528960','209270948'
'505081155914182656','363199891'
'505081272038064128','4790881'
'505081378065891328','279505284'
'505081395019255808','195070471'
'505081397871386625','19851362'
'505081439097204736','178451247'
'505081447087349760','552147240'
'505081482403414016','307822007'
'505081723009642496','4790881'
'505081822204948480','732805369'
'505081895437471744','324437012'
'505081956300627968','166495820'
'505081958284537857','42656372'
'505081983446568961','568624483'
'505082025028489217','2422687201'
'505082051994079233','624754684'
'505082189034586112','426740892'
'505082218868670465','79862085'
'505082315899273216','349184520'
'505082354306908160','2550066566'
'505082429317451777','370302102'
'505082436867620864','131187798'
'505082615784017921','22490533'
'505082644510408704','238278490'
'505082656393277441','2170378830'
'505082657597038592','2170378830'
'505082686981955584','21915340'
'505082690505162752','207188831'
'505082706070220800','238856435'
'505082773229432832','2598210379'
'505082805664350208','1216594050'
'505082920596697088','2163688704'
'505082988569575428','1637233782'
'505082999403061248','2280271664'
'505083004205547521','1552155188'
'505083028339572736','463008727'
'505083047713443840','14165677'
'505083082211606529','450719700'
'505083138180395009','499194684'
'505083161165176835','450719700'
'505083364404367360','450719700'
'505083405776613376','23183427'
'505083437196517376','450719700'
'505083491969941506','1460288238'
'505083497221214211','2312913461'
'505083584424574976','128679707'
'505083603777507329','744474864'
'505083608382853122','93753223'
'505083626342862848','4790881'
'505083653006045184','450719700'
